datetime,price_eur_mwh
2022-05-01 00:00:00,252.4
2022-05-01 00:15:00,219.57
2022-05-01 00:30:00,192.18
2022-05-01 00:45:00,174.11
2022-05-01 01:00:00,236.8
2022-05-01 01:15:00,191.11
2022-05-01 01:30:00,183.41
2022-05-01 01:45:00,169.46
2022-05-01 02:00:00,218.97
2022-05-01 02:15:00,187.54
2022-05-01 02:30:00,184.18
2022-05-01 02:45:00,173.78
2022-05-01 03:00:00,206.13
2022-05-01 03:15:00,179.75
2022-05-01 03:30:00,165.38
2022-05-01 03:45:00,179.41
2022-05-01 04:00:00,177.83
2022-05-01 04:15:00,175.6
2022-05-01 04:30:00,191.54
2022-05-01 04:45:00,171.2
2022-05-01 05:00:00,206.72
2022-05-01 05:15:00,216.53
2022-05-01 05:30:00,212.1
2022-05-01 05:45:00,210.79
2022-05-01 06:00:00,186.66
2022-05-01 06:15:00,186.51
2022-05-01 06:30:00,173.46
2022-05-01 06:45:00,179.55
2022-05-01 07:00:00,177.39
2022-05-01 07:15:00,172.85
2022-05-01 07:30:00,168.35
2022-05-01 07:45:00,173.51
2022-05-01 08:00:00,194.56
2022-05-01 08:15:00,170.98
2022-05-01 08:30:00,173.07
2022-05-01 08:45:00,161.57
2022-05-01 09:00:00,195.52
2022-05-01 09:15:00,163.5
2022-05-01 09:30:00,138.55
2022-05-01 09:45:00,119.3
2022-05-01 10:00:00,179.0
2022-05-01 10:15:00,126.39
2022-05-01 10:30:00,126.09
2022-05-01 10:45:00,85.26
2022-05-01 11:00:00,151.43
2022-05-01 11:15:00,113.8
2022-05-01 11:30:00,116.88
2022-05-01 11:45:00,109.95
2022-05-01 12:00:00,185.58
2022-05-01 12:15:00,141.12
2022-05-01 12:30:00,154.15
2022-05-01 12:45:00,116.29
2022-05-01 13:00:00,142.41
2022-05-01 13:15:00,113.09
2022-05-01 13:30:00,114.41
2022-05-01 13:45:00,100.34
2022-05-01 14:00:00,104.21
2022-05-01 14:15:00,105.38
2022-05-01 14:30:00,106.25
2022-05-01 14:45:00,117.75
2022-05-01 15:00:00,71.28
2022-05-01 15:15:00,101.67
2022-05-01 15:30:00,96.09
2022-05-01 15:45:00,134.15
2022-05-01 16:00:00,83.24
2022-05-01 16:15:00,136.19
2022-05-01 16:30:00,150.14
2022-05-01 16:45:00,175.79
2022-05-01 17:00:00,143.88
2022-05-01 17:15:00,157.75
2022-05-01 17:30:00,177.01
2022-05-01 17:45:00,206.95
2022-05-01 18:00:00,143.38
2022-05-01 18:15:00,175.62
2022-05-01 18:30:00,197.82
2022-05-01 18:45:00,234.61
2022-05-01 19:00:00,203.71
2022-05-01 19:15:00,220.18
2022-05-01 19:30:00,235.37
2022-05-01 19:45:00,249.19
2022-05-01 20:00:00,243.41
2022-05-01 20:15:00,263.75
2022-05-01 20:30:00,257.57
2022-05-01 20:45:00,253.21
2022-05-01 21:00:00,274.95
2022-05-01 21:15:00,267.08
2022-05-01 21:30:00,247.15
2022-05-01 21:45:00,209.05
2022-05-01 22:00:00,271.16
2022-05-01 22:15:00,247.75
2022-05-01 22:30:00,244.2
2022-05-01 22:45:00,186.03
2022-05-01 23:00:00,250.17
2022-05-01 23:15:00,203.99
2022-05-01 23:30:00,193.12
2022-05-01 23:45:00,151.74
2022-05-02 00:00:00,206.07
2022-05-02 00:15:00,185.39
2022-05-02 00:30:00,180.66
2022-05-02 00:45:00,168.55
2022-05-02 01:00:00,214.71
2022-05-02 01:15:00,171.93
2022-05-02 01:30:00,172.49
2022-05-02 01:45:00,169.87
2022-05-02 02:00:00,193.69
2022-05-02 02:15:00,182.5
2022-05-02 02:30:00,181.27
2022-05-02 02:45:00,175.59
2022-05-02 03:00:00,170.66
2022-05-02 03:15:00,172.04
2022-05-02 03:30:00,173.59
2022-05-02 03:45:00,182.54
2022-05-02 04:00:00,144.7
2022-05-02 04:15:00,155.06
2022-05-02 04:30:00,159.18
2022-05-02 04:45:00,204.54
